topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Public Health,Master,Biology,,17,Public Health - master | UiT,Public Health,0.04932453671800182
Public Health,Master,Medical Emergencies,,17,Public Health - master | UiT,Public Health,0.09495995166949243
Public Health,Master,Health Assessment,,17,Public Health - master | UiT,Public Health,0.15523704567825147
Public Health,Master,Health Impact Assessments,,17,Public Health - master | UiT,Public Health,0.13010017839839783
Public Health,Master,Information Retrieval,,17,Public Health - master | UiT,Public Health,0.090731091718032
Public Health,Master,International Health,,17,Public Health - master | UiT,Public Health,0.14411380470834692
Public Health,Master,Climate Change,,17,Public Health - master | UiT,Public Health,0.06239209383753405
Public Health,Master,Clinical Works,,17,Public Health - master | UiT,Public Health,0.08283902665346159
Public Health,Master,Logistic Regression,,17,Public Health - master | UiT,Public Health,0.0767174654080829
Public Health,Master,Regression Analysis,,17,Public Health - master | UiT,Public Health,0.09996163139401831
Public Health,Master,Raw Data,,17,Public Health - master | UiT,Public Health,0.12086963872241151
Public Health,Master,Air Pollution,,17,Public Health - master | UiT,Public Health,0.0965279948818067
Public Health,Master,Architecture,,17,Public Health - master | UiT,Public Health,0.0523758215674781
Public Health,Master,Pediatrics,,17,Public Health - master | UiT,Public Health,0.14411380470834692
Public Health,Master,Nutrition and Dietetics,,17,Public Health - master | UiT,Public Health,0.0981911275748266
Public Health,Master,Environmental Protection,,17,Public Health - master | UiT,Public Health,0.07446140399785547
Public Health,Master,Family Planning,,17,Public Health - master | UiT,Public Health,0.14411380470834692
Public Health,Master,Governance,,17,Public Health - master | UiT,Public Health,0.05617769565849143
Public Health,Master,Knowledge of Hygiene,,17,Public Health - master | UiT,Public Health,0.106083192639397
Public Health,Master,Knowledge of Immunization,,17,Public Health - master | UiT,Public Health,0.11108487236392288
Public Health,Master,Reproductive Health,,17,Public Health - master | UiT,Public Health,0.1362217396437765
Public Health,Master,Health Policies,,17,Public Health - master | UiT,Public Health,0.14411380470834692
Public Health,Master,Health Technology,,17,Public Health - master | UiT,Public Health,0.14411380470834692
Public Health,Master,Risk Analysis,,17,Public Health - master | UiT,Public Health,0.06693269904959427
Public Health,Master,Artificial Intelligence,,17,Public Health - master | UiT,Public Health,0.05173780937633294
Public Health,Master,Databases,,17,Public Health - master | UiT,Public Health,0.053361554714823824
Public Health,Master,Knowledge Bases,,17,Public Health - master | UiT,Public Health,0.090731091718032
Public Health,Master,Library Services (Library Law),,17,Public Health - master | UiT,Public Health,0.14411380470834692
Public Health,Master,Research Experiences,,17,Public Health - master | UiT,Public Health,0.07917582154035165
Public Health,Master,Copyright Law,,17,Public Health - master | UiT,Public Health,0.10847020077899917
Public Health,Master,Protocol Development,,17,Public Health - master | UiT,Public Health,0.15523704567825147
Public Health,Master,Antibiotic Resistance,,17,Master&#39;s Programme in Public Health (one-year),Public Health,0.13010017839839783
Public Health,Master,Qualitative Research,,17,Master&#39;s Programme in Public Health (one-year),Public Health,0.08283902665346159
