topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Law the Sea,Master,Electrical Installations,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.09293447973697995
Law the Sea,Master,Resource Management,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.10617281165546623
Law the Sea,Master,Trading,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.12011465315212433
Law the Sea,Master,Wholesaling,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.14729482656726872
Law the Sea,Master,Insurance Law,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.15582841568441963
Law the Sea,Master,Insurance Management and Aftercare,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.14729482656726872
Law the Sea,Master,International Business,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.12673381911136747
Law the Sea,Master,Private Law,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.13526740822851838
Law the Sea,Master,Contract Management,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.11233207284425913
Law the Sea,Master,Energy Technology,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.09065156409511649
Law the Sea,Master,Governance,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.06074422453130329
Law the Sea,Master,Energy Efficiency,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.12011465315212433
Law the Sea,Master,Money Investments,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.08957278108348127
Law the Sea,Master,Air Pollution,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.1043744875244037
Law the Sea,Master,Biology,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.05333399133198398
Law the Sea,Master,Environmental Protection,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.08051416474712837
Law the Sea,Master,Negotiation Skills,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.07064502630598803
Law the Sea,Master,Strategies of Pricing,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.09955364569622309
Law the Sea,Master,General Knowledge,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.08752622735747276
Law the Sea,Master,Mergers and Acquisitions,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.12011465315212433
Law the Sea,Master,Administrative Laws,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.12011465315212433
Law the Sea,Master,Discussion Groups,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.14067566060802558
Law the Sea,Master,Economic Theories,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.11233207284425913
Law the Sea,Master,Sustainability,,116,Law of the Sea - master | UiT,Law the Sea,0.0641380089245364
Law the Sea,Master,Insurance Claim Processing,,116,Law of the Sea - master | UiT,Law the Sea,0.07484684291745052
