topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Sustainable Management Technology,Master,Product Information Management,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.12519832549315957
Sustainable Management Technology,Master,Surface-Mount Technology,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.1348615992253831
Sustainable Management Technology,Master,Data Mining,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.0640690020204487
Sustainable Management Technology,Master,Euclidean Geometry,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.06013472806328015
Sustainable Management Technology,Master,Logistic Regression,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.06664800936044586
Sustainable Management Technology,Master,Principal Component Analysis,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.082496100647624
Sustainable Management Technology,Master,Decision Trees,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.07998508926092239
Sustainable Management Technology,Master,Application Programming Interfaces (APIs),,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.082496100647624
Sustainable Management Technology,Master,Algorithms,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.05263954519049145
Sustainable Management Technology,Master,Association Rule Learning,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.09901557620428003
Sustainable Management Technology,Master,Big Data,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.05340840430122178
Sustainable Management Technology,Master,Cluster Analysis,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.09901557620428003
Sustainable Management Technology,Master,Recommender Systems,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.0756398988231915
Sustainable Management Technology,Master,Operations Research,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.06468806450060517
Sustainable Management Technology,Master,Mathematical Modeling,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.06532363724499221
Sustainable Management Technology,Master,Mathematical Programming,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.10500504376825055
Sustainable Management Technology,Master,Supply Chain Management,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.09423307871803731
Sustainable Management Technology,Master,Knowledge of Packaging and Processing,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.08848556821159452
Sustainable Management Technology,Master,Logistics Operations,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.08848556821159452
Sustainable Management Technology,Master,Energy Supply,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.10867884993650355
Sustainable Management Technology,Master,Variable Cost,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.11834212366872707
Sustainable Management Technology,Master,Economic Growth,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.07665420361993618
Sustainable Management Technology,Master,Energy Technology,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.07283282691540048
Sustainable Management Technology,Master,Renewable Energy,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.07466700596642976
Sustainable Management Technology,Master,Energy Transformation,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.06346561370426636
Sustainable Management Technology,Master,Electrical Installations,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.07466700596642976
Sustainable Management Technology,Master,Pumps,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.09901557620428003
Sustainable Management Technology,Master,Storage Systems,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.09423307871803731
Sustainable Management Technology,Master,Elementary Mathematics,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.11834212366872707
Sustainable Management Technology,Master,Cloud Computing,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.0812075400572612
Sustainable Management Technology,Master,Computer Security,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.078822294479371
Sustainable Management Technology,Master,Distributed Systems,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.07196609265493849
Sustainable Management Technology,Master,Security Engineering,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.11834212366872707
Sustainable Management Technology,Master,Mobile Computing,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.1348615992253831
Sustainable Management Technology,Master,Anonymization,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.09025175130932823
Sustainable Management Technology,Master,Architecture,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.04550129787945967
Sustainable Management Technology,Master,Manufacturing,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.060658541796475354
Sustainable Management Technology,Master,Knowledge of Mathematics,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.04635764984158117
Sustainable Management Technology,Master,Robotics Design and Production,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.060658541796475354
Sustainable Management Technology,Master,Air Pollution,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.08385833228726436
Sustainable Management Technology,Master,Chemistry,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.07032181552869887
Sustainable Management Technology,Master,Atmospheric Sciences,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.12519832549315957
Sustainable Management Technology,Master,Ecology,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.05340840430122178
Sustainable Management Technology,Master,Knowledge of Engineering,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.0576755829983848
Sustainable Management Technology,Master,Greenhouse Gas,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.09423307871803731
Sustainable Management Technology,Master,Administrative Operations,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.04494702718945013
